ID_UNICO,DIRECTION,MEDIATYPE,QUEUE_ID,QUEUE_NAME,DIVISION_ID,DIVISION_NAME,START_DATE,FINISH_DATE,OFFERED_NUMBER,ANSWERED_NUMBER,ANSWERED_TIME,HANDLE_NUMBER,HANDLE_TIME,ACW_NUMBER,ACW_TIME,ALERT_NUMBER,ALERT_TIME,TACD_NUMBER,TACD_TIME,CONNECTED_NUMBER,CONNECTED_TIME,TALK_NUMBER,TALK_TIME,WAIT_NUMBER,WAIT_TIME,ABANDON_NUMBER,ABANDON_TIME,AGENT_RESPONSE_TIME,AGENT_RESPONSE_NUMBER,HOLD_NUMBER,HOLD_TIME,AVERAGE_AGENT_RESPONSE_NUMBER,AVERAGE_AGENT_RESPONSE_TIME,AVERAGE_CUSTOMER_RESPONSE_NUMBER,AVERAGE_CUSTOMER_RESPONSE_TIME,FIRST_ENGAGEMENT_NUMBER,FIRST_ENGAGEMENT_TIME,FIRST_RESPONSE_NUMBER,FIRST_RESPONSE_TIME,OVER_SLA_NUMBER,ERROR_NUMBER,OUTBOUND_CONNECTED_NUMBER,SHORT_ABANDON_NUMBER,SHORT_ABANDON_TIME,NOT_RESPONDING_NUMBER,NOT_RESPONDING_TIME,BLIND_TRANSFERRED,TRANSFERRED_NUMBER,CONSULT_TRANSFERRED_NUMBER,IVR_NUMBER,IVR_TIME,ACTIVE_CALLBACK_NUMBER,ACTIVE_CALLBACK_TIME,FIRST_DIAL_NUMBER,FIRST_DIAL_TIME,OUTBOUND_NUMBER,OUTBOUND_ATTEMPTED_NUMBER,CONTACTING_NUMBER,CONTACTING_TIME,DIALING_NUMBER,DIALING_TIME,OUTBOUND_ABANDONED_NUMBER,OUTBOUND_ABANDONED_TIME,FECHA_CARGA
inbound_email_22cd5381-ed05-4dbc-b1e6-e72b99cadc89_HND SAC EM SAC_548e03b5-af03-401f-956f-d6e9201bf3e4_Servicio al Cliente_2026-06-26T18:00:00.000-06:00_2026-06-26T18:30:00.000-06:00,inbound,email,22cd5381-ed05-4dbc-b1e6-e72b99cadc89,HND SAC EM SAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-06-26T18:00:00.000-06:00,2026-06-26T18:30:00.000-06:00,12,15,3827344,17,5740275,17,177491,,,15,3827344,23,12324194,17,2392987,15,3827344,,,12384248,17,14,3169797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02 10:30:23
inbound_email_22cd5381-ed05-4dbc-b1e6-e72b99cadc89_HND SAC EM SAC_548e03b5-af03-401f-956f-d6e9201bf3e4_Servicio al Cliente_2026-06-26T18:30:00.000-06:00_2026-06-26T19:00:00.000-06:00,inbound,email,22cd5381-ed05-4dbc-b1e6-e72b99cadc89,HND SAC EM SAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-06-26T18:30:00.000-06:00,2026-06-26T19:00:00.000-06:00,10,10,2419,11,1287237,11,78403,,,10,2419,14,2311143,12,704928,10,2419,,,1856520,12,6,562774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02 10:30:23
inbound_email_22cd5381-ed05-4dbc-b1e6-e72b99cadc89_HND SAC EM SAC_548e03b5-af03-401f-956f-d6e9201bf3e4_Servicio al Cliente_2026-06-26T19:00:00.000-06:00_2026-06-26T19:30:00.000-06:00,inbound,email,22cd5381-ed05-4dbc-b1e6-e72b99cadc89,HND SAC EM SAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-06-26T19:00:00.000-06:00,2026-06-26T19:30:00.000-06:00,5,,,1,65055,1,6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02 10:30:23
inbound_email_22cd5381-ed05-4dbc-b1e6-e72b99cadc89_HND SAC EM SAC_548e03b5-af03-401f-956f-d6e9201bf3e4_Servicio al Cliente_2026-06-26T19:30:00.000-06:00_2026-06-26T20:00:00.000-06:00,inbound,email,22cd5381-ed05-4dbc-b1e6-e72b99cadc89,HND SAC EM SAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-06-26T19:30:00.000-06:00,2026-06-26T20:00:00.000-06:00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02 10:30:23
inbound_email_22cd5381-ed05-4dbc-b1e6-e72b99cadc89_HND SAC EM SAC_548e03b5-af03-401f-956f-d6e9201bf3e4_Servicio al Cliente_2026-06-26T20:00:00.000-06:00_2026-06-26T20:30:00.000-06:00,inbound,email,22cd5381-ed05-4dbc-b1e6-e72b99cadc89,HND SAC EM SAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-06-26T20:00:00.000-06:00,2026-06-26T20:30:00.000-06:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02 10:30:23
inbound_email_22cd5381-ed05-4dbc-b1e6-e72b99cadc89_HND SAC EM SAC_548e03b5-af03-401f-956f-d6e9201bf3e4_Servicio al Cliente_2026-06-26T20:30:00.000-06:00_2026-06-26T21:00:00.000-06:00,inbound,email,22cd5381-ed05-4dbc-b1e6-e72b99cadc89,HND SAC EM SAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-06-26T20:30:00.000-06:00,2026-06-26T21:00:00.000-06:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02 10:30:23
inbound_email_22cd5381-ed05-4dbc-b1e6-e72b99cadc89_HND SAC EM SAC_548e03b5-af03-401f-956f-d6e9201bf3e4_Servicio al Cliente_2026-06-26T21:00:00.000-06:00_2026-06-26T21:30:00.000-06:00,inbound,email,22cd5381-ed05-4dbc-b1e6-e72b99cadc89,HND SAC EM SAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-06-26T21:00:00.000-06:00,2026-06-26T21:30:00.000-06:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02 10:30:23
inbound_email_22cd5381-ed05-4dbc-b1e6-e72b99cadc89_HND SAC EM SAC_548e03b5-af03-401f-956f-d6e9201bf3e4_Servicio al Cliente_2026-06-26T22:00:00.000-06:00_2026-06-26T22:30:00.000-06:00,inbound,email,22cd5381-ed05-4dbc-b1e6-e72b99cadc89,HND SAC EM SAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-06-26T22:00:00.000-06:00,2026-06-26T22:30:00.000-06:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02 10:30:23
inbound_email_22cd5381-ed05-4dbc-b1e6-e72b99cadc89_HND SAC EM SAC_548e03b5-af03-401f-956f-d6e9201bf3e4_Servicio al Cliente_2026-06-26T22:30:00.000-06:00_2026-06-26T23:00:00.000-06:00,inbound,email,22cd5381-ed05-4dbc-b1e6-e72b99cadc89,HND SAC EM SAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-06-26T22:30:00.000-06:00,2026-06-26T23:00:00.000-06:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02 10:30:23
inbound_email_22cd5381-ed05-4dbc-b1e6-e72b99cadc89_HND SAC EM SAC_548e03b5-af03-401f-956f-d6e9201bf3e4_Servicio al Cliente_2026-06-26T23:00:00.000-06:00_2026-06-26T23:30:00.000-06:00,inbound,email,22cd5381-ed05-4dbc-b1e6-e72b99cadc89,HND SAC EM SAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-06-26T23:00:00.000-06:00,2026-06-26T23:30:00.000-06:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02 10:30:23
